Case;Date;Action
678779.913195@gmail;2018-08-19 11:21:00;Initial Application by Candidate
678779.913195@gmail;2018-08-19 11:22:00;Automatic Reply
678779.913195@gmail;2018-08-23 08:33:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-23 13:31:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-23 16:07:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-24 08:31:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-24 14:03:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-24 14:33:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-24 16:07:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
678779.913195@gmail;2018-08-25 09:41:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
678779.913195@gmail;2018-08-25 09:55:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-26 08:01:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-26 09:30:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-26 09:44:00;Internal Communication / Clarification of Requirements
678779.913195@gmail;2018-08-26 10:30:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
678779.913195@gmail;2018-08-26 10:44:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
678779.913195@gmail;2018-08-26 12:01:00;Job Offer / Contract Negotiation
678779.913195@gmail;2018-08-30 09:31:00;Job Offer / Contract Negotiation
313313.145302@ziegler-cat;2019-08-11 13:44:00;Internal Communication / Clarification of Requirements
313313.145302@ziegler-cat;2019-08-13 11:44:00;Application Declined
845004.404129@hotmail.de;2017-08-01 09:33:00;Initial Application by Candidate
845004.404129@hotmail.de;2017-08-01 09:35:00;Automatic Reply
845004.404129@hotmail.de;2017-08-10 16:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
845004.404129@hotmail.de;2017-08-11 09:20:00;Initial Application by Candidate
845004.404129@hotmail.de;2017-08-11 15:21:00;Automatic Reply
845004.404129@hotmail.de;2017-08-12 08:03:00;Internal Communication / Clarification of Requirements
845004.404129@hotmail.de;2017-08-12 11:11:00;Internal Communication / Clarification of Requirements
845004.404129@hotmail.de;2017-08-13 09:05:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
845004.404129@hotmail.de;2017-08-13 09:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
611611.136782@ziegler-cat;2017-08-23 08:05:00;Job Offer / Contract Negotiation
611611.136782@ziegler-cat;2017-08-25 08:55:00;Job Offer / Contract Negotiation
611611.136782@ziegler-cat;2017-08-27 09:10:00;Automatic Reply
611611.136782@ziegler-cat;2017-08-27 09:15:00;Internal Communication / Clarification of Requirements
611611.136782@ziegler-cat;2017-08-28 07:55:00;Internal Communication / Clarification of Requirements
611611.136782@ziegler-cat;2017-08-28 09:04:00;Internal Communication / Clarification of Requirements
611611.136782@ziegler-cat;2017-08-28 09:30:00;Job Offer / Contract Negotiation
611611.136782@ziegler-cat;2017-08-30 10:44:00;Automatic Reply
611611.136782@ziegler-cat;2017-08-30 13:45:00;Job Offer / Contract Negotiation
218451.190350@gmail;2018-11-02 14:31:00;Initial Application by Candidate
218451.190350@gmail;2018-11-02 14:32:00;Automatic Reply
218451.190350@gmail;2018-11-04 08:05:00;Internal Communication / Clarification of Requirements
218451.190350@gmail;2018-11-04 08:55:00;Initial Application by Candidate
218451.190350@gmail;2018-11-05 14:30:00;Job Offer / Contract Negotiation
218451.190350@gmail;2018-11-06 09:08:00;Internal Communication / Clarification of Requirements
218451.190350@gmail;2018-11-06 16:01:00;Internal Communication / Clarification of Requirements
218451.190350@gmail;2018-11-07 09:01:00;Internal Communication / Clarification of Requirements
218451.190350@gmail;2018-11-07 09:05:00;Initial Application by Candidate
218451.190350@gmail;2018-11-08 13:12:00;Initial Application by Candidate
218451.190350@gmail;2018-11-08 15:21:00;Initial Application by Candidate
218451.190350@gmail;2018-11-09 07:45:00;Initial Application by Candidate
218451.190350@gmail;2018-11-09 11:31:00;Initial Application by Candidate
218451.190350@gmail;2018-11-09 12:31:00;Initial Application by Candidate
218451.190350@gmail;2018-11-09 14:56:00;Initial Application by Candidate
218451.190350@gmail;2018-11-10 08:04:00;Application Declined
160567.335587@hotmail;2018-01-16 17:41:00;Initial Application by Candidate
160567.335587@hotmail;2018-01-16 17:43:00;Automatic Reply
160567.335587@hotmail;2018-01-21 09:33:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-21 13:45:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-22 17:02:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-23 14:23:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-23 15:30:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-23 15:45:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-24 08:05:00;Internal Communication / Clarification of Requirements
160567.335587@hotmail;2018-01-24 09:01:00;Job Offer / Contract Negotiation
160567.335587@hotmail;2018-01-24 09:35:00;Initial Application by Candidate
160567.335587@hotmail;2018-01-24 09:55:00;Application Declined
453442.991714@onemail;2018-07-09 22:44:00;Initial Application by Candidate
453442.991714@onemail;2018-07-09 22:46:00;Automatic Reply
453442.991714@onemail;2018-07-13 11:09:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-13 16:30:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-14 09:45:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-14 09:11:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-14 15:44:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-14 16:59:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-15 09:11:00;Initial Application by Candidate
453442.991714@onemail;2018-07-15 09:44:00;Initial Application by Candidate
453442.991714@onemail;2018-07-15 16:57:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-18 14:46:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-20 11:00:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-20 11:03:00;Internal Communication / Clarification of Requirements
453442.991714@onemail;2018-07-20 13:49:00;Initial Application by Candidate
453442.991714@onemail;2018-07-20 15:35:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
453442.991714@onemail;2018-07-21 08:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
453442.991714@onemail;2018-07-30 09:22:00;Application Declined
814088.176120@t-online;2017-05-03 08:22:00;Initial Application by Candidate
814088.176120@t-online;2017-05-03 08:23:00;Automatic Reply
814088.176120@t-online;2017-05-08 09:31:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-08 13:11:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-08 16:33:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-09 10:21:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-09 13:11:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-10 08:31:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
814088.176120@t-online;2017-05-10 09:05:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
814088.176120@t-online;2017-05-10 14:33:00;Automatic Reply
814088.176120@t-online;2017-05-10 16:03:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-11 14:03:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-11 14:51:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-12 16:59:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-12 08:21:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-12 09:11:00;Internal Communication / Clarification of Requirements
814088.176120@t-online;2017-05-12 15:33:00;Initial Application by Candidate
814088.176120@t-online;2017-05-12 17:04:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
814088.176120@t-online;2017-05-13 08:11:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
814088.176120@t-online;2017-05-18 09:31:00;Job Offer / Contract Negotiation
