From;To;Datetime;Message-ID;In-Reply-To;Subject;Content;Label
jmayer94@gmail.com;office@ziegler-cat.com;03.05.2017 08:01:00;678779.913195@gmail;;Application for an Internship in Summer 2022;"Dear sir or madam,

I hereby want to apply for the internship position posted on https://www.monster.com/job-openings/intern-technician-main-shop-altoona-ia--fbf20827-562f-4fa1-b9dd-975da6e033e4?sid=03b2c216-c6cb-448a-8b7b-c2abf9582547&jvo=m.ga.sc.2&hidesmr=1.

Please find attached by application documents including my resume, application letter and additional documents as required by the job posting.

I would be happy to introduce myself personally and look forward to your response.

Best regards
James Mayer";1
j.parker@ziegler-cat.com;jmayer94@gmail.com;03.05.2017 08:03:00;199910.564704@ziegler-cat;678779.913195@gmail;Re: Application for an Internship in Summer 2022;"Dear Mr. Mayer,

thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application.

Thank you for your understanding.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";2
j.parker@ziegler-cat.com;f.huber@ziegler-cat.com;04.05.2017 08:31:00;154540.215557@ziegler-cat;;Applicant for Internship;"Dear Francis,

We just received an application for the summer intern position in your department. Attached you can find his resume. After having a first look, the applicant looks to be well qualified.

What do you think?

Best,
Jessica";3
f.huber@ziegler-cat.com;j.parker@ziegler-cat.com;04.05.2017 12:56:00;927670.852047@ziegler-cat;154540.215557@ziegler-cat;Re: Applicant for Internship;"Hi Jessica,

seems like you forgot the attachment. I cannot see the applicant's resume.

Best regards,
Francis";3
j.parker@ziegler-cat.com;f.huber@ziegler-cat.com;04.05.2017 16:04:00;764175.670153@ziegler-cat;927670.852047@ziegler-cat;Re:Re: Applicant for Internship;"Hi Francis,

that's right, so sorry for the inconvenience! Now it should be attached. Please let me know if the applicant is suited for your department.

Best,
Jessica";3
f.huber@ziegler-cat.com;j.parker@ziegler-cat.com;07.05.2017 09:33:00;679089.198220@ziegler-cat;764175.670153@ziegler-cat;Re:Re:Re: Applicant for Internship;"Hello Jessica,

after having a first look, Mister Mayer seems qualified - we are looking for a graduate student in Mechanical Engineering. Do you know if the applicant has some programming skills as well? From his resume I cannot spot it and we would need someone to improve the performance of our toolchain which is written in Python.
Could you maybe ask mister Mayer about that?

Thank you and best regards,
Francis";3
j.parker@ziegler-cat.com;f.huber@ziegler-cat.com;09.05.2017 10:20:00;317654.513029@ziegler-cat;679089.198220@ziegler-cat;Re:Re:Re:Re: Applicant for Internship;"Hello Francis,

I'll ask him and get back to you as soon as I know more.

Jessica";3
j.parker@ziegler-cat.com;jmayer94@gmail.com;11.05.2017 11:31:00;166182.607975@ziegler-cat;;Question about your application;"Dear Mister Mayer,

Thank you a lot for you application and your waiting!
While processing your application, a question appeared: Are you familiar with programming languages such as Python? The task which would be assigned to you during your internship would also involve the analysis and improvement of code.

Please let me know about your coding skills.

Thanks in advance and best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
jmayer94@gmail.com;j.parker@ziegler-cat.com;11.05.2017 14:56:00;920327.971491@gmail;166182.607975@ziegler-cat;Re: Question about your application;"Dear Ms Parker,

actually, I am quite familiar with Python - I took several coding classes at university and I also did a previous internship where I was responsible for the Python codebase of a tool which was frequently used by my department.

I am looking forward to hearing from you,
James Mayer";4
j.parker@ziegler-cat.com;jmayer94@gmail.com;13.05.2017 17:09:00;436337.677681@ziegler-cat;920327.971491@gmail;Re:Re: Question about your application;"Dear Mister Mayer,

thank you for the information, I will forward it and get back to you as soon as a decision has been made.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
